gene,pair,correlation,value,percent_expressed
Eip63F-1,melsec,rho,0.715915548367969,18.4855233853007
Eip63F-1,melsec,r,0.65981821073333,18.4855233853007
Eip63F-1,melsim,rho,0.72786833055091,18.4855233853007
Eip63F-1,melsim,r,0.757182250030311,18.4855233853007
Eip63F-1,simsec,rho,0.726563552910833,18.4855233853007
Eip63F-1,simsec,r,0.814626947843668,18.4855233853007
Eip78C,melsec,rho,0.72160858172353,26.4230823250868
Eip78C,melsec,r,0.612360587690763,26.4230823250868
Eip78C,melsim,rho,0.759800151854526,26.4230823250868
Eip78C,melsim,r,0.611142802451459,26.4230823250868
Eip78C,simsec,rho,0.783761278250732,26.4230823250868
Eip78C,simsec,r,0.855784958274896,26.4230823250868
Eip93F,melsec,rho,0.950459452575482,40.1613194486246
Eip93F,melsec,r,0.960684747206381,40.1613194486246
Eip93F,melsim,rho,0.952399147946805,40.1613194486246
Eip93F,melsim,r,0.980400607855997,40.1613194486246
Eip93F,simsec,rho,0.954784701391011,40.1613194486246
Eip93F,simsec,r,0.967153130337837,40.1613194486246
Epac,melsec,rho,0.710831363811049,18.6500531712113
Epac,melsec,r,0.708122399321102,18.6500531712113
Epac,melsim,rho,0.731273756808652,18.6500531712113
Epac,melsim,r,0.704741464648564,18.6500531712113
Epac,simsec,rho,0.816739937059307,18.6500531712113
Epac,simsec,r,0.803809641567223,18.6500531712113
Fas1,melsec,rho,0.770175747957444,87.2991031120207
Fas1,melsec,r,0.743617985325105,87.2991031120207
Fas1,melsim,rho,0.71730441427144,87.2991031120207
Fas1,melsim,r,0.699715206490339,87.2991031120207
Fas1,simsec,rho,0.817531691451635,87.2991031120207
Fas1,simsec,r,0.821317155285413,87.2991031120207
Fas2,melsec,rho,0.762064303767707,46.8368145428279
Fas2,melsec,r,0.96493430199059,46.8368145428279
Fas2,melsim,rho,0.743940907933149,46.8368145428279
Fas2,melsim,r,0.93703187124214,46.8368145428279
